Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
USA/WA2/2020	EPI_ISL_412970	2/24/20	Washington State Department of Health	Seattle Flu Study	Helen Chu et al
Mexico/CDMX-InDRE_01/2020	EPI_ISL_412972	2/27/20	Instituto Nacional de Enfermedades Respiratorias	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Ramirez-Gonzalez Ernesto et al
Italy/CDG1/2020	EPI_ISL_412973	2/20/20	Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy	Virology Laboratory, Scientific Department, Army Medical Center	Paola Stefanelli et al
Italy/SPL1/2020	EPI_ISL_412974	1/29/20	Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy	Virology Laboratory, Scientific Department, Army Medical Center	Paola Stefanelli et al
Australia/NSW05/2020	EPI_ISL_412975	2/28/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al
Wuhan/HBCDC-HB-02/2020	EPI_ISL_412978	1/17/20	The Central Hospital Of Wuhan	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/HBCDC-HB-03/2020	EPI_ISL_412979	1/18/20	Union Hospital of Tongji Medical College, Huazhong University of Science and Technology	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/HBCDC-HB-04/2020	EPI_ISL_412980	1/18/20	Union Hospital of Tongji Medical College, Huazhong University of Science and Technology	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/HBCDC-HB-05/2020	EPI_ISL_412981	1/18/20	CR&WISCO GENERAL HOSPITAL	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/HBCDC-HB-06/2020	EPI_ISL_412982	2/7/20	Wuhan Lung Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Tianmen/HBCDC-HB-07/2020	EPI_ISL_412983	2/8/20	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Canada/ON_PHL2445/2020	EPI_ISL_413014	1/25/20	Public Health Ontario Laboratory	Ontario Agency for Health Protection and Promotion (OAHPP)	Alireza Eshaghi et al
Brazil/SP-02/2020	EPI_ISL_413016	2/28/20	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory	Jaqueline Goes de Jesus et al
SouthKorea/KUMC01/2020	EPI_ISL_413017	2/6/20	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC02/2020	EPI_ISL_413018	2/6/20	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
Switzerland/1000477377/2020	EPI_ISL_413020	2/27/20	Department of Internal Medicine, Triemli Hospital	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477757/2020	EPI_ISL_413021	2/29/20	Klinik Hirslanden Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477796/2020	EPI_ISL_413022	2/29/20	Division of Infectious Diseases, University Hospital Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477797/2020	EPI_ISL_413023	2/29/20	Division of Infectious Diseases, University Hospital Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477806/2020	EPI_ISL_413024	2/29/20	Division of Infectious Diseases, University Hospital Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
USA/WA3-UW1/2020	EPI_ISL_413025	2/27/20	Harborview Medical Center	UW Virology Lab	Pavitra Roychoudhury et al
Australia/NSW06/2020	EPI_ISL_413213	2/29/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al
Australia/NSW07/2020	EPI_ISL_413214	2/29/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al
USA/WA4-UW2/2020	EPI_ISL_413455	2/28/20	Washington State Public Health Lab	University of Washington Virology Lab	Pavitra Roychoudhury et al
USA/WA-S2/2020	EPI_ISL_413456	2/20/20	Seattle Flu Study	Seattle Flu Study	Chu et al et al
USA/WA6-UW3/2020	EPI_ISL_413457	2/29/20	Washington State Public Health Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA7-UW4/2020	EPI_ISL_413458	3/1/20	Washington State Public Health Lab	UW Virology Lab	Pavitra Roychoudhury et al
Japan/TK-20-31-3/2020	EPI_ISL_413459	2/20/20	Department of Pathology, Toshima Hospital	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
USA/WA8-UW5/2020	EPI_ISL_413486	3/1/20	Valley Medical Center	University of Washington Virology Lab	Pavitra Roychoudhury et al
USA/WA9-UW6/2020	EPI_ISL_413487	3/1/20	Harborview Medical Center	University of Washington Virology Lab	Pavitra Roychoudhury et al
Germany/NRW-01/2020	EPI_ISL_413488	2/28/20	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Ortwin Adams et al
Italy/UniSR1/2020	EPI_ISL_413489	3/3/20	Laboratorio di Microbiologia e Virologia, Università Vita-Salute San Raffaele, Milano	Laboratorio di Microbiologia e Virologia, Università Vita-Salute San Raffaele, Milano	R.A Diotti et al
NewZealand/01/2020	EPI_ISL_413490	2/27/20	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al
SouthKorea/KUMC03/2020	EPI_ISL_413513	2/27/20	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC04/2020	EPI_ISL_413514	2/27/20	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC05/2020	EPI_ISL_413515	2/27/20	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC06/2020	EPI_ISL_413516	2/27/20	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
Beijing/105/2020	EPI_ISL_413518	1/26/20	unknown	Infectious Disease Control Center	Li et al
Beijing/231/2020	EPI_ISL_413519	1/28/20	unknown	Infectious Disease Control Center	Li et al
Beijing/233/2020	EPI_ISL_413520	1/28/20	unknown	Infectious Disease Control Center	Li et al
Beijing/235/2020	EPI_ISL_413521	1/28/20	unknown	Infectious Disease Control Center	Li et al
India/1-31/2020	EPI_ISL_413523	1/31/20	Indian Council of Medical Research-National Institute of Virology	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	Potdar V et al
Wales/PHW1/2020	EPI_ISL_413555	2/27/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Wales/PHW2/2020	EPI_ISL_413556	3/4/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
USA/CA-CDPH-UC1/2020	EPI_ISL_413557	2/26/20	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
USA/CA-CDPH-UC2/2020	EPI_ISL_413558	2/27/20	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
USA/CA-CDPH-UC3/2020	EPI_ISL_413559	2/27/20	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
USA/WA-S3/2020	EPI_ISL_413560	2/28/20	Seattle Flu Study	Seattle Flu Study	Chu et al et al
USA/CA-CDPH-UC4/2020	EPI_ISL_413561	2/27/20	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
USA/WA11-UW7/2020	EPI_ISL_413562	3/2/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA12-UW8/2020	EPI_ISL_413563	3/3/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Netherlands/Blaricum_1364780/2020	EPI_ISL_413566	3/2/20	MHC Gooi & Vechtstreek	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Eindhoven_1363782/2020	EPI_ISL_413571	3/2/20	MHC Brabant Zuidoost	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Haarlem_1363688/2020	EPI_ISL_413572	3/1/20	MHC Kennemerland	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Helmond_1363548/2020	EPI_ISL_413574	2/29/20	MHC West-Brabant	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Nootdorp_1364222/2020	EPI_ISL_413579	3/3/20	MHC Haaglanden	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Rotterdam_1364740/2020	EPI_ISL_413584	3/3/20	unknown	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Tilburg_1364286/2020	EPI_ISL_413587	3/3/20	Foundation Elisabeth-Tweesteden Ziekenhuis	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Utrecht_1363564/2020	EPI_ISL_413588	3/1/20	MHC Utrecht	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Utrecht_1363628/2020	EPI_ISL_413589	3/1/20	MHC Utrecht	Erasmus Medical Center	David Nieuwenhuijse et al
Netherlands/Zeewolde_1365080/2020	EPI_ISL_413591	3/2/20	MHC Flevoland	Erasmus Medical Center	David Nieuwenhuijse et al
Taiwan/NTU03/2020	EPI_ISL_413592	3/2/20	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Luxembourg/Lux1/2020	EPI_ISL_413593	2/29/20	Laboratoire National de Santé	Erasmus Medical Center	David Nieuwenhuijse et al
Australia/NSW08/2020	EPI_ISL_413594	2/28/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al
Australia/NSW09/2020	EPI_ISL_413595	2/28/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al
Australia/NSW10/2020	EPI_ISL_413596	2/28/20	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al
Australia/NSW11/2020	EPI_ISL_413597	3/2/20	Centre for Infectious Diseases and Microbiology- Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Lam C et al
Australia/NSW12/2020	EPI_ISL_413598	3/4/20	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gray K et al
Australia/NSW13/2020	EPI_ISL_413599	3/4/20	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms et al
Australia/NSW14/2020	EPI_ISL_413600	3/3/20	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall et al
Finland/FIN03032020A/2020	EPI_ISL_413602	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
Finland/FIN03032020B/2020	EPI_ISL_413603	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
Finland/FIN03032020C/2020	EPI_ISL_413604	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
USA/CruiseA-1/2020	EPI_ISL_413606	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-2/2020	EPI_ISL_413607	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-3/2020	EPI_ISL_413608	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-4/2020	EPI_ISL_413609	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-5/2020	EPI_ISL_413610	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-6/2020	EPI_ISL_413611	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CruiseA-7/2020	EPI_ISL_413612	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-8/2020	EPI_ISL_413613	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-9/2020	EPI_ISL_413614	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-10/2020	EPI_ISL_413615	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-11/2020	EPI_ISL_413616	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-12/2020	EPI_ISL_413617	2/20/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/CruiseA-13/2020	EPI_ISL_413618	2/20/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
USA/CruiseA-14/2020	EPI_ISL_413619	2/25/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
USA/CruiseA-15/2020	EPI_ISL_413620	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
USA/CruiseA-16/2020	EPI_ISL_413621	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
USA/CruiseA-17/2020	EPI_ISL_413622	2/24/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
Portugal/CV62/2020	EPI_ISL_413647	3/1/20	Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio	Instituto Nacional de Saude (INSA)	Raquel Guiomar et al
